Outcome,Source / field group,Operational definition,Restriction,Labelled,Positive,Positive %,provenance
Kidney stone,stone_in_the_kidney,"Positive for yes, Yes, or YES; other non-missing strings negative",None stated,"32,471","1,861",5.73%,Supplied S1 table; coding checked against src/targets.py; counts checked against archive target_summary.csv
Hydronephrosis,hydronephrosis,"Positive for yes, Yes, or YES; other non-missing strings negative",None stated,"32,377",237,0.73%,Supplied S1 table; coding checked against src/targets.py; counts checked against archive target_summary.csv
Gallstones,presence_stones_in_the_gallbladder,"Positive for yes, Yes, or YES; other non-missing strings negative",None stated,"31,832",815,2.56%,Supplied S1 table; coding checked against src/targets.py; counts checked against archive target_summary.csv
Nephrolithiasis,nephrolithiasis,"Positive for yes, Yes, or YES; other non-missing strings negative; retained separately from kidney stone",None stated,"31,772","2,416",7.60%,Supplied S1 table; coding checked against src/targets.py; counts checked against archive target_summary.csv
Recorded low bone mass,dexa_bmd_lhip_cat; dexa_bmd_lumbar_spine_cat,"Any available site category osteopenia or osteoporosis is positive. Otherwise any observed category yields negative, including an unrecognised non-missing category. Both sites missing yields missing. Code-generated categories are normal, osteopenia and osteoporosis.",None stated,"20,238","2,726",13.47%,Supplied S1 table; coding checked against src/targets.py; counts checked against archive target_summary.csv
Recorded mitral regurgitation ≥mild,mr,Exact positives: MR - mild; MR - mild to moderate; MR - moderate; MR - moderate to severe. Other non-missing values negative; missing stays missing.,None stated,"19,382","15,835",81.70%,Supplied S1 table; coding checked against src/targets.py; counts checked against archive target_summary.csv
Mitral valve abnormality,mitral_valve,Any non-missing value other than “Mitral valve - normal” positive,None stated,"17,550",491,2.80%,Supplied S1 table; coding checked against src/targets.py; counts checked against archive target_summary.csv
"Prostate echotexture, heterogeneous",kind_of_echo_in_prostate,Exact positive source value “Hetrogeneous”; other non-missing values negative,Recorded males only,"13,921","2,038",14.64%,Supplied S1 table; coding checked against src/targets.py; counts checked against archive target_summary.csv
K6 score ≥13,امتیاز ارزیابی روانشناختی K6,Score ≥13 positive; other observed numeric scores negative,None stated,"13,697",340,2.48%,Supplied S1 table; coding checked against src/targets.py; counts checked against archive target_summary.csv
Any positive toxicology field,Morphine; Marijuana; Cocaine; Benzodiazepines; Amphetamine; Buprenorphin; Methadone; Tramadol,Positive if any available drug field contains “Positive”; negative if at least one drug field observed and none positive,Incomplete panel allowed,"4,730",263,5.56%,Supplied S1 table; coding checked against src/targets.py; counts checked against archive target_summary.csv
Carotid abnormality,rcca; rica; reca; lcca; lica; leca,Positive if any observed field is neither No plaque nor No stenosis. Negative if at least one field is observed and every observed value is one of those two strings. All fields missing yields missing.,None stated,"1,651",57,3.45%,Supplied S1 table; coding checked against src/targets.py; counts checked against archive target_summary.csv
Mammography BI-RADS 3–6,birads_category,BI-RADS 3–6 positive; 1–2 negative; unrecognised/missing excluded,Recorded females only,"1,087",277,25.48%,Supplied S1 table; coding checked against src/targets.py; counts checked against archive target_summary.csv
